r1 = Allard RW  | 1999a
r2 = Alvares CA, Stape JL, Sentelhas PC, Leonardo J, Gonçalves M and Sparovek G  | 2013b
r3 = Araujo MJ, Lee DJ, Tambarussi EV, Paula RC and Silva PHM  | 2021
r4 = Assis TF, Abad JI and Aguiar AM  | 2015
r5 = Batista DC, Klitzke RJ and Santos CVT  | 2010
r6 = Bhat KM, Bhat KK and Dhamodaran TK  | 1990
r7 = Bison O, Ramalho MAP, Rezende GDSP, Aguiar AM and Resende MDV  | 2006
r8 = Boland DJ, Brooker MIH, Chippendale GM, Hall N, Hyland BPM, Johnston RD, Kleinig DA, McDonald MW and Turner JD  | 2006
r9 = Brawner JT, Lee DJ, Hardner CM and Dieters MJ  | 2011
r10 = Bruder EM, Rezende MA and Costa VE  | 2016
r11 = Carnegie AJ, Johnson IG and Henson M  | 2004
r12 = Clark JS  | 2010
r13 = Dianese JC, Moraes TSDA, Silva AR and Silva AR  | 1986
r14 = Duc Kien N, Ngac D, Liem T, Harwood C, Almqvist Curt and Huy Thinh H  | 2008
r15 = Eldridge K and Davidson J  | 1988
r16 = Eldridge K, Davidson J, Harwood C and Wyk G van  | 1994
r17 = Ferreira M  | 2016
r18 = Florence RG  | 2004
r19 = Flores TB, Alvares CA, Souza VC and Stape JL  | 2016
r20 = Gouvêa AFG, Trugilho PF, Gomide JL, Silva JRM, Andrade CR and Alves ICN  | 2011
r21 = Hodge GR and Dvorak WS  | 2015
r22 = Hsing TY, Paula NF and Paula RC  | 2016
r23 = Kumar A, Sharma VK and Ginwal HS  | 2010
r24 = Lee DJ, Huth JR, Brawner JT and Dickinson GR  | 2009
r25 = Marco MA  | 1991
r26 = Ni-eto V, Giraldo-Charria D, Sarmiento M and Borralho N  | 2016
r27 = Ochieng JW, Shepherd M, Baverstock RP, Nikles G, Lee DJ and Henry RJ  | 2010
r28 = Paludeto JGZ, Bush D, Estopa RA and Tambarussi EV  | 2020
r29 = Pegg GS, Nahrung H, Carnegie AJ, Wingfield MJ and Drenth A  | 2011
r30 = Ramalho FMG, Pimenta EM, Goulart CP, Almeida MNF, Vidaurre GB and Hein PRG  | 2019
r31 = Schumacher FX and Hall FS  | 1933
r32 = Self NM, Aitken EAB and Dale MD  | 2002
r33 = Shepherd M, Henson M and Lee DJ  | 2012
r34 = Silva PHM, Brune A, Alvares CA, Amaral W Do, Moraes MLT, Grattapaglia D and Paula RC  | 2019
r35 = Silva PHM, Campoe OC, Paula RC and Lee DJ  | 2016
r36 = Silv-a PHM, Lee DJ, Miranda AC, Marino CL, Moraes MLT and Paula RC  | 2017
r37 = Silva PHM, Marco M, Alvares CA, Lee D, Moraes MLT and Paula RC  | 2019
r38 = Tambarussi EV, Pereira FB, Silva PHM, Lee D and Bush D  | 2018
r39 = Trugilho PF  | 2009
r40 = Vencovsky R | 1987
r41 = Williams J and Woinarski J  | 1997
r42 = Aesa  | 2018
